"I regularly recycle items like paper, plastic, and glass.",I bring my own reusable bags or containers when shopping.  ,I try to reduce water and electricity use at home. ,I avoid single-use plastics whenever I can. ,I actively seek information about environmental issues. ,I believe environmental problems are a major issue in Armenia. ,I believe recycling practices have evolved in Armenia in the past 5 years. ,I believe that the items thrown in the recycling bins are actually recycled. ,I feel that individual actions can make a real impact on the environment. ,I think environmental topics are discussed enough in Armenian schools/media. ,Would you recycle if there were more recycling bins in Armenia? 
3,1,2,3,3,5,2,4,5,1,Yes
3,4,2,2,1,5,4,1,2,1,Yes
4,3,2,4,2,4,3,2,3,1,Yes
1,1,3,2,2,5,2,2,4,1,Maybe
4,4,4,3,3,4,3,2,3,4,Maybe
2,1,1,1,1,2,4,3,3,1,Yes
3,1,3,4,1,4,1,2,3,2,Yes
3,3,5,4,2,4,3,3,4,2,Yes
1,4,3,5,3,5,3,1,5,3,Yes
1,2,2,1,5,5,1,1,3,1,No
4,3,2,3,3,5,4,3,3,1,Yes
1,1,1,1,1,4,2,2,2,1,Maybe
3,4,2,3,1,5,2,2,4,1,Yes
4,4,3,4,2,4,4,3,5,3,Yes
1,4,4,4,2,5,3,4,5,2,No
5,3,5,5,5,3,5,5,5,5,Maybe
1,1,2,2,2,5,3,4,4,2,Maybe
1,1,5,5,5,5,1,1,5,3,Yes
3,4,4,3,2,5,4,3,4,3,Maybe
5,4,2,4,1,4,3,1,4,2,Yes
4,5,5,4,3,5,2,3,5,4,Maybe
3,4,5,5,3,5,5,3,5,1,Yes
4,2,4,4,3,5,4,3,4,2,Yes
2,3,5,4,3,5,4,2,5,2,Yes
5,4,3,4,5,5,4,4,4,2,Yes
2,5,4,5,1,5,3,4,5,5,Yes
1,3,1,2,1,3,4,3,3,1,Yes
4,5,5,4,2,5,4,2,5,1,Yes
4,4,2,3,3,5,5,3,5,2,Yes
1,1,3,3,2,3,4,5,3,2,Maybe
1,1,1,1,1,3,2,1,2,1,No
1,3,2,4,3,5,2,3,5,3,Maybe
2,1,4,2,1,4,3,2,5,1,Yes
1,1,5,1,1,5,3,5,2,1,Yes
2,2,3,3,2,3,2,3,3,3,Maybe
1,1,3,1,4,5,4,2,2,2,Yes
1,1,1,1,1,5,3,3,5,3,Maybe
2,4,4,1,1,5,2,2,3,3,Yes
4,2,3,5,3,5,4,5,5,2,Yes
2,3,3,4,2,3,4,3,4,1,Yes
